[11/09/2024 19:40:47] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:41:40] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:42:42] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:48:21] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:52:29] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:59:33] [INFO] received Windows console close event; shutting log-core down
[14/09/2024 20:26:25] [INFO] received Windows console close event; shutting log-core down
[14/09/2024 20:35:56] [INFO] received Windows console close event; shutting log-core down
[21/10/2024 15:12:35] [INFO] received Windows console close event; shutting log-core down
[21/10/2024 15:39:59] [INFO] received Windows console close event; shutting log-core down
[22/10/2024 22:33:48] [INFO] received Windows console close event; shutting log-core down
[24/10/2024 00:26:15] [INFO] received Windows console close event; shutting log-core down
[02/11/2024 12:47:45] [INFO] received Windows console close event; shutting log-core down
[02/11/2024 13:37:50] [INFO] received Windows console close event; shutting log-core down
[02/11/2024 13:40:16] [INFO] received Windows console close event; shutting log-core down
[02/11/2024 13:42:16] [INFO] received Windows console close event; shutting log-core down
[02/11/2024 13:45:28] [INFO] received Windows console close event; shutting log-core down
[03/11/2024 18:15:03] [INFO] received Windows console close event; shutting log-core down
[21/11/2024 23:03:44] [INFO] received Windows console close event; shutting log-core down
[21/11/2024 23:25:11] [INFO] received Windows console close event; shutting log-core down
[25/11/2024 21:52:03] [INFO] received Windows console close event; shutting log-core down
[25/11/2024 21:56:07] [INFO] received Windows console close event; shutting log-core down
[25/11/2024 22:04:12] [INFO] received Windows console close event; shutting log-core down
[07/02/2025 10:49:22] [INFO] received Windows console close event; shutting log-core down
[07/02/2025 11:16:41] [INFO] received Windows console close event; shutting log-core down
[07/02/2025 12:05:26] [INFO] received Windows console close event; shutting log-core down
[07/02/2025 13:47:59] [INFO] received Windows console close event; shutting log-core down
[08/02/2025 22:47:31] [INFO] received Windows console close event; shutting log-core down
[10/02/2025 20:19:23] [INFO] received Windows console close event; shutting log-core down
[10/02/2025 20:33:23] [INFO] received Windows console close event; shutting log-core down
[11/02/2025 23:19:54] [INFO] received Windows console close event; shutting log-core down
